radiation,city,state,extra,county,latitude,longitude,postal_code,state_code
1295.0,Biebesheim am Rhein,Hessen,Regierungsbezirk Darmstadt,Groß-Gerau,49.7836,8.4744,64584,HE
1294.0,Ansbach,Bayern,Regierungsbezirk Mittelfranken,Ansbach,49.3048,10.5931,91522,BY
1294.0,Frickenhausen am Main,Bayern,Regierungsbezirk Unterfranken,Landkreis Würzburg,49.6667,10.0833,97252,BY
1294.0,Heroldsbach,Bayern,Upper Franconia,Landkreis Forchheim,49.6934,10.9988,91336,BY
1294.0,Bretzfeld,Baden-Württemberg,Regierungsbezirk Stuttgart,Hohenlohekreis,49.1794,9.4383,74626,BW
1293.0,Kolitzheim,Bayern,Regierungsbezirk Unterfranken,Landkreis Schweinfurt,49.9167,10.2333,97509,BY
1292.0,Eckersweiler,Rheinland-Pfalz,,Landkreis Birkenfeld,49.5667,7.2833,55777,RP
1292.0,Regensburg,Bayern,Upper Palatinate,Regensburg,48.9965,12.1202,93053,BY
1292.0,Kaiserslautern,Rheinland-Pfalz,,"Kaiserslautern, kreisfreie Stadt",49.45,7.75,67653,RP
1291.0,Neustadt an der Weinstraße,Rheinland-Pfalz,,"Neustadt an der Weinstraße, kreisfreie Stadt",49.3465,8.1491,67433,RP
1291.0,Straubing,Bayern,Lower Bavaria,Straubing,48.8813,12.5739,94315,BY
1290.0,Satteldorf,Baden-Württemberg,Regierungsbezirk Stuttgart,Schwäbisch Hall,49.1695,10.0796,74589,BW
1286.0,Schwaig,Bayern,Regierungsbezirk Mittelfranken,Nürnberger Land,49.4695,11.2006,90571,BY
1286.0,Ebensfeld,Bayern,Upper Franconia,Landkreis Lichtenfels,50.0664,10.9583,96250,BY
1284.0,Creglingen,Baden-Württemberg,Regierungsbezirk Stuttgart,Main-Tauber-Kreis,49.4694,10.0312,97993,BW
1283.0,Haßmersheim,Baden-Württemberg,Karlsruhe Region,Neckar-Odenwald-Kreis,49.3,9.15,74855,BW
1283.0,Heidelberg,Baden-Württemberg,Karlsruhe Region,Heidelberg,49.3829,8.6656,69124,BW
1282.0,Trier,Rheinland-Pfalz,,"Trier, kreisfreie Stadt",49.744,6.6188,54294,RP
1282.0,Stettfeld,Bayern,Regierungsbezirk Unterfranken,Landkreis Haßberge,49.9719,10.7239,96188,BY
1281.0,Würzburg,Bayern,Regierungsbezirk Unterfranken,Würzburg,49.8044,9.977,97076,BY
1281.0,Itzgrund,Bayern,Upper Franconia,Landkreis Coburg,50.15,10.9,96274,BY
1279.0,Alsbach-Hähnlein,Hessen,Regierungsbezirk Darmstadt,Darmstadt-Dieburg,49.7386,8.5958,64665,HE
1278.0,Dachwig,Thüringen,,Landkreis Gotha,51.0777,10.8548,99100,TH
1278.0,Gebesee,Thüringen,,Landkreis Sömmerda,51.1149,10.9345,99189,TH
1278.0,Echternacherbrück,Rheinland-Pfalz,,Eifelkreis Bitburg-Prüm,49.8167,6.4333,54668,RP
1278.0,Passau,Bayern,Lower Bavaria,Passau,48.589,13.3971,94034,BY
1277.0,Schweinfurt,Bayern,Regierungsbezirk Unterfranken,Schweinfurt,50.0348,10.2064,97424,BY
1277.0,Herbsleben,Thüringen,,Unstrut-Hainich-Kreis,51.1167,10.8333,99955,TH
1275.0,Erfurt,Thüringen,,"Erfurt, Stadt",51.0143,10.9929,99091,TH
1273.0,Aufseß,Bayern,Upper Franconia,Landkreis Bayreuth,49.8837,11.2269,91347,BY
1273.0,Wonsees,Bayern,Upper Franconia,Landkreis Kulmbach,49.9761,11.3005,96197,BY
1273.0,Birgland,Bayern,Upper Palatinate,Amberg-Sulzbach,49.4167,11.6333,92262,BY
1272.0,Gleina,Sachsen-Anhalt,,Burgenlandkreis,51.258,11.7203,6632,ST
1272.0,Steigra,Sachsen-Anhalt,,Saalekreis,51.3,11.6667,6268,ST
1271.0,Breit,Rheinland-Pfalz,,Landkreis Bernkastel-Wittlich,49.7756,6.9056,54426,RP
1271.0,Burglengenfeld,Bayern,Upper Palatinate,Landkreis Schwandorf,49.2038,12.0445,93133,BY
1271.0,Mainz,Rheinland-Pfalz,,"Mainz, kreisfreie Stadt",49.9661,8.2663,55129,RP
1270.0,Clingen,Thüringen,,Kyffhäuserkreis,51.2321,10.9328,99718,TH
1270.0,Bad Sulza,Thüringen,,Weimarer Land,51.0893,11.6247,99518,TH
1269.0,Arnstein,Bayern,Regierungsbezirk Unterfranken,Main-Spessart,49.9777,9.9698,97450,BY
1269.0,Darmstadt,Hessen,Regierungsbezirk Darmstadt,"Darmstadt, Wissenschaftsstadt",49.8192,8.6449,64297,HE
1268.0,Sulzdorf an der Lederhecke,Bayern,Regierungsbezirk Unterfranken,Landkreis Rhön-Grabfeld,50.2408,10.5628,97528,BY
