postal_code,city,state,state_code,extra,county,latitude,longitude,radiation
29459,Clenze Gistenbeck,Niedersachsen,NI,,Lüchow-Dannenberg,52.9274,10.9835,1184.0
34474,Diemelstadt,Hessen,HE,Regierungsbezirk Kassel,Landkreis Waldeck-Frankenberg,51.4878,9.0079,1184.0
18233,Alt Bukow,Mecklenburg-Vorpommern,MV,,Landkreis Rostock,53.9976,11.6071,1184.0
29459,Clenze Kassau,Niedersachsen,NI,,Lüchow-Dannenberg,52.913,10.947,1184.0
29465,Schnega Loitze,Niedersachsen,NI,,Lüchow-Dannenberg,52.904,10.8344,1184.0
18233,Pepelow,Mecklenburg-Vorpommern,MV,,Landkreis Rostock,54.0378,11.5923,1184.0
35753,Greifenstein,Hessen,HE,Reg.-Bez. Gießen,Lahn-Dill-Kreis,50.6167,8.3,1184.0
13125,Berlin,Berlin,BE,,"Berlin, Stadt",52.6329,13.4829,1184.0
56472,Hardt,Rheinland-Pfalz,RP,,Westerwaldkreis,50.6333,7.9167,1184.0
18230,Rerik,Mecklenburg-Vorpommern,MV,,Landkreis Rostock,54.1,11.6167,1184.0
39619,Arendsee,Sachsen-Anhalt,ST,,Altmarkkreis Salzwedel,52.8667,11.4833,1184.0
35460,Staufenberg,Hessen,HE,Reg.-Bez. Gießen,Gießen,50.662,8.7316,1184.0
18239,Radegast,Mecklenburg-Vorpommern,MV,,Landkreis Rostock,53.9663,11.8529,1184.0
57647,Nistertal,Rheinland-Pfalz,RP,,Westerwaldkreis,50.6333,7.9,1184.0
35435,Wettenberg,Hessen,HE,Reg.-Bez. Gießen,Gießen,50.6167,8.65,1184.0
18184,Mandelshagen,Mecklenburg-Vorpommern,MV,,Landkreis Rostock,54.1531,12.368,1184.0
17291,Schönfeld,Brandenburg,BB,,Landkreis Uckermark,53.4136,13.9857,1184.0
39615,Leppin,Sachsen-Anhalt,ST,,Altmarkkreis Salzwedel,52.8851,11.5734,1184.0
18209,Reddelich,Mecklenburg-Vorpommern,MV,,Landkreis Rostock,54.0887,11.8506,1184.0
19336,Legde/Quitzöbel,Brandenburg,BB,,Landkreis Prignitz,52.9111,11.9778,1184.0
38877,Benneckenstein,Sachsen-Anhalt,ST,,Landkreis Harz,51.6682,10.7172,1184.0
16845,Stüdenitz-Schönermark,Brandenburg,BB,,Landkreis Ostprignitz-Ruppin,52.8917,12.3,1184.0
16833,Fehrbellin Protzen,Brandenburg,BB,,Landkreis Ostprignitz-Ruppin,52.85,12.7333,1184.0
29497,Woltersdorf,Niedersachsen,NI,,Lüchow-Dannenberg,52.95,11.2167,1184.0
29468,Bergen (Dumme) Brüchauer Mühle,Niedersachsen,NI,,Lüchow-Dannenberg,52.9073,10.9455,1184.0
29465,Schnega Solkau,Niedersachsen,NI,,Lüchow-Dannenberg,52.9102,10.8392,1184.0
57537,Wissen,Rheinland-Pfalz,RP,,Landkreis Altenkirchen,50.7791,7.7347,1184.0
57629,Streithausen,Rheinland-Pfalz,RP,,Westerwaldkreis,50.6936,7.8153,1183.0
16259,Höhenland Leuenberg,Brandenburg,BB,,Landkreis Märkisch-Oderland,52.7227,13.8701,1183.0
31749,Auetal Westerwald,Niedersachsen,NI,,Landkreis Schaumburg,52.2499,9.237,1183.0
1762,Hartmannsdorf-Reichenau,Sachsen,SN,,Landkreis Sächsische Schweiz,50.8167,13.575,1183.0
37697,Lauenförde,Niedersachsen,NI,,Landkreis Holzminden,51.6594,9.3871,1183.0
31749,Auetal Escher,Niedersachsen,NI,,Landkreis Schaumburg,52.2373,9.267,1183.0
16259,Beiersdorf-Freudenberg,Brandenburg,BB,,Landkreis Märkisch-Oderland,52.6967,13.8014,1183.0
35457,Lollar,Hessen,HE,Reg.-Bez. Gießen,Gießen,50.6465,8.7049,1183.0
31868,Ottenstein,Niedersachsen,NI,,Landkreis Holzminden,51.9471,9.407,1183.0
57587,Birken-Honigsessen,Rheinland-Pfalz,RP,,Landkreis Altenkirchen,50.8167,7.7333,1183.0
37627,Wangelnstedt,Niedersachsen,NI,,Landkreis Holzminden,51.8667,9.6833,1183.0
37619,Hehlen,Niedersachsen,NI,,Landkreis Holzminden,51.9886,9.47,1183.0
35282,Rauschenberg,Hessen,HE,Reg.-Bez. Gießen,Marburg-Biedenkopf,50.8833,8.9186,1183.0
57645,Nister,Rheinland-Pfalz,RP,,Westerwaldkreis,50.6758,7.8383,1183.0
29562,Suhlendorf,Niedersachsen,NI,,Uelzen,52.9333,10.7667,1183.0
51580,Reichshof,Nordrhein-Westfalen,NW,Regierungsbezirk Köln,Oberbergischer Kreis,50.9284,7.6432,1183.0
38559,Wagenhoff,Niedersachsen,NI,,Landkreis Gifhorn,52.5523,10.5234,1183.0
48629,Metelen,Nordrhein-Westfalen,NW,Reg.-Bez. Münster,Steinfurt,52.1443,7.2127,1183.0
33729,Bielefeld,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,"Bielefeld, Stadt",52.0707,8.6002,1183.0
9623,Frauenstein,Sachsen,SN,,Landkreis Mittelsachsen,50.8028,13.5379,1183.0
32469,Petershagen,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,Minden-Lübbecke,52.3751,8.9654,1183.0
32427,Minden,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,Minden-Lübbecke,52.2946,8.8976,1183.0
18574,Zudar,Mecklenburg-Vorpommern,MV,,Vorpommern-Rügen,54.2606,13.3501,1183.0
32052,Herford,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,Herford,52.1005,8.6723,1183.0
32051,Herford,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,Herford,52.127,8.6427,1183.0
34477,Twistetal,Hessen,HE,Regierungsbezirk Kassel,Landkreis Waldeck-Frankenberg,51.3214,8.9548,1183.0
48565,Steinfurt,Nordrhein-Westfalen,NW,Reg.-Bez. Münster,Steinfurt,52.1504,7.3366,1183.0
16259,Falkenberg Falkenberg/Mark,Brandenburg,BB,,Landkreis Märkisch-Oderland,52.8058,13.957,1183.0
48346,Ostbevern,Nordrhein-Westfalen,NW,Reg.-Bez. Münster,Warendorf,52.0402,7.8423,1183.0
34399,Oberweser,Hessen,HE,Regierungsbezirk Kassel,Kassel,51.5833,9.5667,1183.0
51645,Gummersbach,Nordrhein-Westfalen,NW,Regierungsbezirk Köln,Oberbergischer Kreis,51.0006,7.5693,1183.0
51643,Gummersbach,Nordrhein-Westfalen,NW,Regierungsbezirk Köln,Oberbergischer Kreis,51.0143,7.5724,1183.0
31749,Auetal,Niedersachsen,NI,,Landkreis Schaumburg,52.2388,9.2516,1183.0
16259,Falkenberg,Brandenburg,BB,,Landkreis Märkisch-Oderland,52.8051,13.958,1183.0
18528,Zirkow,Mecklenburg-Vorpommern,MV,,Vorpommern-Rügen,54.3887,13.5395,1183.0
16259,Beiersdorf-Freudenberg Freudenberg,Brandenburg,BB,,Landkreis Märkisch-Oderland,52.7007,13.8199,1183.0
